"Participant","Media","AOI","Total_duration_of_fixations","Number_of_fixations","Average_pupil_diameter","Subtitle_Type","Modality","Clip","Wordcount","Line","Prop_reading_time","Mean_fixation_duration"
"Participant5","C3-ST","SUB",125.596,463,4.66102,"SS","Intralingual","C3",784,108,0.429515787601782,271.2656587473
"Participant14","E1-LC","SUB",130.452,560,4.44218,"AC","Interlingual","E1",497,53,0.512203166226913,232.95
"Participant14","E2-SDH","SUB",83.598,410,3.93326,"SDH","Interlingual","E2",912,65,0.40943686391286,203.89756097561
"Participant14","E3-ST","SUB",43.781,233,3.86379,"SS","Interlingual","E3",521,61,0.202617585397798,187.901287553648
"Participant46","E1-LC","SUB",48.3,244,4.2121,"AC","Interlingual","E1",497,53,0.420570513043781,197.950819672131
"Participant46","E2-SDH","SUB",82.009,419,3.98705,"SDH","Interlingual","E2",912,65,0.423241675440226,195.72553699284
"Participant46","E3-ST","SUB",49.833,254,3.89211,"SS","Interlingual","E3",521,61,0.267148072500362,196.192913385827
"Participant5","E1-LC","SUB",139.127,520,5.24411,"AC","Interlingual","E1",497,53,0.500894666921086,267.551923076923
"Participant5","E2-SDH","SUB",130.897,481,5.16944,"SDH","Interlingual","E2",912,65,0.561074510173727,272.135135135135
"Participant5","E3-ST","SUB",64.227,273,5.08081,"SS","Interlingual","E3",521,61,0.264918062538927,235.263736263736
"Participant28","C1-LC","SUB",28.007,121,5.03557,"AC","Intralingual","C1",379,62,0.131186472434306,231.462809917355
"Participant28","C2-SDH","SUB",86.884,373,4.847,"SDH","Intralingual","C2",792,75,0.409432344043052,232.932975871314
"Participant28","C3-ST","SUB",83.176,385,4.93522,"SS","Intralingual","C3",784,108,0.329398160065582,216.041558441558
"Participant49","E1-LC","SUB",39.096,216,3.55367,"AC","Interlingual","E1",497,53,0.144442638213605,181
"Participant49","E2-SDH","SUB",96.438,468,3.25648,"SDH","Interlingual","E2",912,65,0.485151852056807,206.064102564103
"Participant49","E3-ST","SUB",15.541,81,3.43682,"SS","Interlingual","E3",521,61,0.0626961650489354,191.864197530864
"Participant49","C1-LC","SUB",48.482,260,3.2297,"AC","Intralingual","C1",379,62,0.210053377699213,186.469230769231
"Participant49","C2-SDH","SUB",114.877,613,2.96773,"SDH","Intralingual","C2",792,75,0.563885452867605,187.401305057096
"Participant49","C3-ST","SUB",170.078,842,3.07302,"SS","Intralingual","C3",784,108,0.726388260115656,201.992874109264
"Participant6","E1-LC","SUB",20.1,206,4.66428,"AC","Interlingual","E1",497,53,0.235520194977913,97.5728155339806
"Participant6","E2-SDH","SUB",8.324,67,4.26389,"SDH","Interlingual","E2",912,65,0.112207484093605,124.238805970149
"Participant6","E3-ST","SUB",14.915,103,4.45169,"SS","Interlingual","E3",521,61,0.113982866269784,144.805825242718
"Participant38","C1-LC","SUB",22.906,156,3.51276,"AC","Intralingual","C1",379,62,0.101902270624244,146.833333333333
"Participant38","C2-SDH","SUB",15.84,116,3.31419,"SDH","Intralingual","C2",792,75,0.0761688602080218,136.551724137931
"Participant38","C3-ST","SUB",25.296,165,3.23279,"SS","Intralingual","C3",784,108,0.108351216252682,153.309090909091
"Participant38","E1-LC","SUB",47.34,240,3.72248,"AC","Interlingual","E1",497,53,0.171833654568619,197.25
"Participant38","E2-SDH","SUB",134.957,430,3.76015,"SDH","Interlingual","E2",912,65,0.607044863663761,313.853488372093
"Participant38","E3-ST","SUB",12.658,81,3.21241,"SS","Interlingual","E3",521,61,0.0523107568074652,156.271604938272
"Participant45","E1-LC","SUB",100.868,523,3.33345,"AC","Interlingual","E1",497,53,0.474124072838032,192.864244741874
