Recording	Participant	Timeline	TOI	Interval	Media	AOI	Duration_of_interval	Start_of_interval	Last_key_press	Total_duration_of_fixations	Average_duration_of_fixations	Minimum_duration_of_fixations	Maximum_duration_of_fixations	Number_of_fixations	Time_to_first_fixation	Duration_of_first_fixation	Last_AOI_viewed	AOI_at_interval_end	Average_pupil_diameter	Total_duration_of_whole_fixations	Average_duration_of_whole_fixations	Minimum_duration_of_whole_fixations	Maximum_duration_of_whole_fixations	Number_of_whole_fixations	Time_to_first_whole_fixation	Duration_of_first_whole_fixation	Average_whole-fixation_pupil_diameter	Total_duration_of_Visit	Average_duration_of_Visit	Minimum_duration_of_Visit	Maximum_duration_of_Visit	Number_of_Visits	Time_to_first_Visit	Duration_of_first_Visit	Total_duration_of_Glances	Average_duration_of_Glances	Minimum_duration_of_Glances	Maximum_duration_of_Glances	Number_of_Glances	Time_to_first_Glance	Duration_of_first_Glance	Number_of_mouse_clicks	Time_to_first_mouse_click	Time_from_first_fixation_to_mouse_click	Number_of_mouse_clicks_and_releases	Time_to_first_mouse_click_and_release	Time_from_first_fixation_to_mouse_click_and_release	Number_of_saccades_in_AOI	Time_to_entry_saccade	Time_to_exit_saccade	Peak_velocity_of_entry_saccade	Peak_velocity_of_exit_saccade	Character_index	Word_index	Sentence_index	AOI_string	Text_unit_type	Number_of_units	First-pass_first_fixation_duration	First-pass_duration	Selective_regression-path_duration	First-pass_regression	Total_duration_of_fixations	Regression-path_duration	Re-reading_duration
Recording7	Participant41	G7-1	C2-LC	1	C2-LC	SUB	314288	119328		62128	202	66	1516	308	3	125	IMA		4.63308	55015	204	66	1516	270	6077	492	4.63431	82915	602	67	3783	131	3	125	83388	637	83	3833	131	0	128	0			0			123	10419	128	347.27	546.84													
Recording7	Participant41	G7-1	C3-SDH	1	C3-SDH	IMA	350648	975743		116797	201	66	1158	581	2663	217	IMA		4.50654	99568	202	66	1158	494	2663	217	4.50872	152248	806	67	6808	189	2663	1421	158704	840	75	6808	189	2621	1463	0			0			216	2621	4084	467.51	319.5													
Recording7	Participant41	G7-1	C3-SDH	1	C3-SDH	SUB	350648	975743		90544	165	66	725	549	2396	225	IMA		4.48479	85310	167	66	725	512	2396	225	4.48541	112950	568	67	2625	213	2396	225	121191	609	75	2683	199	2346	275	0			0			236	4084	2621	319.5	467.51													
Recording7	Participant41	G7-1	Entire Recording	1	AF1,AF2,AF3,age,C1-ST,C2-LC,C3-SDH,deafness,education,EE1,EE2,EE3,ENJ1,ENJ2,gender,language,NP1,NP2,NP3,NU1,NU2,NU3,prefer (1),SD1	IMA	1423089	0	1	116797	201	66	1158	581	978406	217	IMA		4.50654	99568	202	66	1158	494	978406	217	4.50872	152248	806	67	6808	189	978406	1421	158704	840	75	6808	189	978364	1463	0			0			216	978364	979827	467.51	319.5													
Recording7	Participant41	G7-1	Entire Recording	1	AF1,AF2,AF3,age,C1-ST,C2-LC,C3-SDH,deafness,education,EE1,EE2,EE3,ENJ1,ENJ2,gender,language,NP1,NP2,NP3,NU1,NU2,NU3,prefer (1),SD1	IMA	1423089	0	1	147742	235	63	1975	629	573579	142	IMA		4.6702	120788	235	66	1975	514	573579	142	4.69446	212217	1965	66	23106	108	573579	1900	215083	1992	67	23123	108	573546	1933	0			0			271	579395	576346	263.49	307.51													
Recording7	Participant41	G7-1	Entire Recording	1	AF1,AF2,AF3,age,C1-ST,C2-LC,C3-SDH,deafness,education,EE1,EE2,EE3,ENJ1,ENJ2,gender,language,NP1,NP2,NP3,NU1,NU2,NU3,prefer (1),SD1	IMA	1423089	0	1	108232	261	66	2849	414	119506	217	IMA		4.6842	80743	243	66	2849	332	119989	167	4.71729	148659	1282	66	30414	116	119506	650	152548	1315	83	30430	116	119456	700	0			0			157	120364	129747	474.87	347.27													
Recording7	Participant41	G7-1	Entire Recording	1	AF1,AF2,AF3,age,C1-ST,C2-LC,C3-SDH,deafness,education,EE1,EE2,EE3,ENJ1,ENJ2,gender,language,NP1,NP2,NP3,NU1,NU2,NU3,prefer (1),SD1	SUB	1423089	0	1	90544	165	66	725	549	978139	225	IMA		4.48479	85310	167	66	725	512	978139	225	4.48541	112950	568	67	2625	199	978139	225	121191	609	75	2683	199	978089	275	0			0			236	979827	978364	319.5	467.51													
Recording7	Participant41	G7-1	Entire Recording	1	AF1,AF2,AF3,age,C1-ST,C2-LC,C3-SDH,deafness,education,EE1,EE2,EE3,ENJ1,ENJ2,gender,language,NP1,NP2,NP3,NU1,NU2,NU3,prefer (1),SD1	SUB	1423089	0	1	38571	179	67	975	215	575529	208	IMA		4.71537	34631	180	67	975	192	575529	208	4.71931	44445	423	67	2175	105	575529	208	48203	459	83	2216	105	575512	225	0			0			86	576346	582712	307.51	195.56													
Recording7	Participant41	G7-1	Entire Recording	1	AF1,AF2,AF3,age,C1-ST,C2-LC,C3-SDH,deafness,education,EE1,EE2,EE3,ENJ1,ENJ2,gender,language,NP1,NP2,NP3,NU1,NU2,NU3,prefer (1),SD1	SUB	1423089	0	1	62128	202	66	1516	308	119331	125	IMA		4.63308	55015	204	66	1516	270	125405	492	4.63431	78919	602	67	3783	131	119331	125	83426	637	83	3833	131	119290	166	0			0			123	129747	119456	347.27	546.84													
Recording10	Participant47	G7-2	E1-ST	1	E1-ST	IMA	281528	726668		129138	310	67	1650	416	0	173	IMA	IMA	4.67319	97650	300	67	1650	326	231	242	4.68585	176919	2211	75	30447	80	0	4419	179480	2243	92	30463	80	0	4419	0			0			151	14468	6594	326.04	335.59													
Recording10	Participant47	G7-2	E1-ST	1	E1-ST	SUB	281528	726668		35456	193	66	1000	184	6661	192	IMA	IMA	4.63761	30222	188	66	1000	161	6661	192	4.652	53487	713	66	3000	75	6661	192	56763	757	66	3050	75	6594	259	0			0			56	6594	6852	335.59	248.27													
